Timestamp	CPU_Load	RAM_Avail
2022-06-16T23:53:49.636268	0.5	4802916352
2022-06-16T23:54:02.967235	58.1	4460412928
2022-06-16T23:54:15.667739	56.5	4212961280
2022-06-16T23:54:28.567235	53.3	4226863104
2022-06-16T23:54:41.609236	56.1	4243025920
2022-06-16T23:54:56.888735	64.0	4144480256
2022-06-16T23:55:09.285237	63.8	3827138560
2022-06-16T23:55:22.402736	64.6	3756777472
2022-06-16T23:55:33.671235	58.6	3763712000
2022-06-16T23:55:45.889236	53.5	3828641792
2022-06-16T23:56:07.341236	27.6	3909533696
2022-06-16T23:56:19.711738	51.1	3899494400
2022-06-16T23:56:31.095736	52.6	3903684608
2022-06-16T23:56:46.008736	52.7	3920572416
2022-06-16T23:56:57.456235	54.5	4048969728
2022-06-16T23:57:09.481739	52.3	4045770752
2022-06-16T23:57:23.875236	53.1	4044828672
2022-06-16T23:57:36.367238	49.0	4043644928
2022-06-16T23:57:47.793238	52.4	4077281280
2022-06-16T23:58:00.249236	52.0	4070703104
2022-06-16T23:58:12.575237	52.8	4056989696
2022-06-16T23:58:24.196235	53.4	4065378304
2022-06-16T23:58:36.658236	53.2	4065165312
2022-06-16T23:58:49.012236	51.2	4096086016
2022-06-16T23:59:01.560236	53.2	4111507456
2022-06-16T23:59:12.687236	52.9	4100468736
2022-06-16T23:59:24.828237	52.8	4091228160
2022-06-16T23:59:37.740235	52.5	4072042496
2022-06-16T23:59:49.326235	49.1	4103729152
2022-06-17T00:00:01.606737	53.3	4113915904
2022-06-17T00:00:13.200235	52.4	4143702016
2022-06-17T00:00:24.447736	52.3	4140978176
2022-06-17T00:00:37.311737	62.7	4151717888
2022-06-17T00:00:50.227238	62.7	4237012992
2022-06-17T00:01:03.957236	56.7	4264591360
2022-06-17T00:01:15.642238	58.5	4240719872
2022-06-17T00:01:26.724735	55.6	4245209088
2022-06-17T00:01:41.656738	56.4	4263727104
2022-06-17T00:01:55.937738	58.1	4282056704
2022-06-17T00:02:08.034235	58.2	4280197120
2022-06-17T00:02:19.148236	55.4	4262670336
2022-06-17T00:02:30.758736	57.2	4258209792
