Timestamp	CPU_Load	RAM_Avail
2022-04-27T18:09:35.838415	13.6	3487215616
2022-04-27T18:09:47.108415	64.6	2682056704
2022-04-27T18:09:58.221414	46.6	2704216064
2022-04-27T18:10:09.249912	66.4	2720514048
2022-04-27T18:10:20.268913	67.0	2760200192
2022-04-27T18:10:31.518913	64.2	2727387136
2022-04-27T18:10:42.768913	64.5	2688409600
2022-04-27T18:10:53.820913	64.5	2665607168
2022-04-27T18:11:05.415914	61.3	2680737792
2022-04-27T18:11:19.959413	48.8	2690719744
2022-04-27T18:11:31.135914	59.5	2722988032
2022-04-27T18:11:42.355915	61.5	2646945792
2022-04-27T18:11:53.632414	60.0	2627141632
2022-04-27T18:12:04.673415	59.4	2714390528
2022-04-27T18:12:16.226413	61.6	2726981632
2022-04-27T18:12:27.583414	62.8	2695471104
2022-04-27T18:12:38.641413	62.6	2691928064
2022-04-27T18:12:49.787913	65.1	2696192000
2022-04-27T18:13:00.844912	62.3	2727342080
2022-04-27T18:13:12.076915	60.6	2680745984
2022-04-27T18:13:23.314413	63.1	2699800576
2022-04-27T18:13:34.578914	48.2	2677518336
2022-04-27T18:13:45.738915	61.7	2700492800
2022-04-27T18:13:56.821412	62.3	2693423104
2022-04-27T18:14:08.022414	66.6	2693435392
2022-04-27T18:14:19.768914	62.8	2675838976
2022-04-27T18:14:30.923413	49.7	2664865792
2022-04-27T18:14:42.125413	65.3	2715971584
2022-04-27T18:14:53.245413	59.9	2686504960
2022-04-27T18:15:04.292913	66.9	2681167872
2022-04-27T18:15:15.976412	67.3	2687270912
2022-04-27T18:15:27.155913	62.3	2637815808
2022-04-27T18:15:38.167917	65.3	2649366528
2022-04-27T18:15:51.789415	57.4	2674536448
2022-04-27T18:16:02.808415	68.8	2503868416
2022-04-27T18:16:13.936914	65.0	2534912000
2022-04-27T18:16:25.059413	70.6	2441158656
2022-04-27T18:16:36.207413	69.5	2525319168
2022-04-27T18:16:47.260413	67.7	2397560832
2022-04-27T18:16:58.284913	74.9	2278051840
2022-04-27T18:17:09.297414	74.8	2484981760
2022-04-27T18:17:20.307414	61.7	2515128320
2022-04-27T18:17:31.323913	71.1	2448969728
2022-04-27T18:17:42.465912	73.8	2361520128
2022-04-27T18:17:53.772912	64.3	2662641664
2022-04-27T18:18:05.685914	59.3	2703810560
2022-04-27T18:18:16.693914	63.2	2714370048
2022-04-27T18:18:27.764912	62.4	2691297280
2022-04-27T18:18:39.318414	66.4	2689413120
2022-04-27T18:18:50.574412	62.1	2667712512
2022-04-27T18:19:01.740913	65.0	2706083840
2022-04-27T18:19:13.052413	64.3	2700902400
2022-04-27T18:19:24.312915	64.6	2677178368
2022-04-27T18:19:35.359915	66.2	2660601856
2022-04-27T18:19:46.554914	58.3	2678181888
2022-04-27T18:19:57.930413	58.7	2699522048
2022-04-27T18:20:09.000913	65.7	2712256512
2022-04-27T18:20:20.086413	59.5	2700779520
2022-04-27T18:20:31.268912	64.9	2645106688
2022-04-27T18:20:42.511414	63.7	2683875328
2022-04-27T18:20:53.580912	62.0	2681942016
2022-04-27T18:21:04.907413	65.4	2703269888
2022-04-27T18:21:16.060914	61.9	2714038272
2022-04-27T18:21:27.240413	67.7	2474336256
2022-04-27T18:21:38.373412	66.8	2628567040
2022-04-27T18:21:50.808913	57.0	2661072896
2022-04-27T18:22:01.906413	64.8	2655051776
2022-04-27T18:22:13.058413	45.4	2654896128
2022-04-27T18:22:24.131912	59.3	2678587392
2022-04-27T18:22:35.277413	63.3	2677800960
2022-04-27T18:22:46.522914	63.0	2668691456
2022-04-27T18:22:57.924914	62.1	2667737088
2022-04-27T18:23:09.004413	62.9	2654220288
2022-04-27T18:23:20.348413	62.7	2656763904
2022-04-27T18:23:31.518913	62.0	2692460544
2022-04-27T18:23:42.646912	58.5	2636308480
2022-04-27T18:23:53.866915	60.5	2664239104
2022-04-27T18:24:05.079413	58.5	2723123200
2022-04-27T18:24:16.249914	59.7	2692988928
2022-04-27T18:24:27.433413	66.0	2612633600
2022-04-27T18:24:38.552912	67.1	2543026176
2022-04-27T18:24:49.687413	69.1	2648920064
2022-04-27T18:25:01.041913	66.2	2648858624
2022-04-27T18:25:12.118414	65.4	2635849728
2022-04-27T18:25:23.191914	64.2	2652172288
2022-04-27T18:25:34.243912	62.7	2633261056
2022-04-27T18:25:45.413915	56.4	2653310976
2022-04-27T18:25:56.674413	61.4	2626105344
2022-04-27T18:26:07.860913	72.7	2915291136
2022-04-27T18:26:19.024913	70.9	2787078144
2022-04-27T18:26:30.142413	64.9	2810601472
2022-04-27T18:26:41.255414	67.8	2928447488
2022-04-27T18:26:57.840918	10.2	2941448192
