Timestamp	CPU_Load	RAM_Avail
2022-06-18T15:29:36.524835	0.7	5687033856
2022-06-18T15:29:48.238834	7.7	5558996992
2022-06-18T15:29:59.502334	7.9	5554745344
2022-06-18T15:30:10.533834	8.1	5548478464
2022-06-18T15:30:21.648835	7.1	5559205888
2022-06-18T15:30:33.122835	7.6	5582475264
2022-06-18T15:30:44.302835	7.3	5572587520
2022-06-18T15:30:55.489334	7.3	5554204672
2022-06-18T15:31:06.836335	7.5	5551230976
2022-06-18T15:31:18.173834	7.7	5572354048
2022-06-18T15:31:29.222834	7.1	5597560832
2022-06-18T15:31:40.817834	7.6	5579837440
2022-06-18T15:31:52.144335	8.7	5508710400
2022-06-18T15:32:03.771836	8.8	5566726144
2022-06-18T15:32:15.037337	7.4	5592166400
2022-06-18T15:32:26.378335	7.5	5608284160
2022-06-18T15:32:37.410835	7.4	5637967872
2022-06-18T15:32:48.939334	7.3	5610782720
2022-06-18T15:33:00.213334	8.1	5580746752
2022-06-18T15:33:11.494336	7.4	5585793024
2022-06-18T15:33:22.866334	7.9	5593849856
2022-06-18T15:33:34.029336	7.1	5618069504
2022-06-18T15:33:45.051334	7.4	5660758016
2022-06-18T15:33:56.611834	7.7	5618401280
2022-06-18T15:34:07.743334	7.3	5632663552
2022-06-18T15:34:18.912834	7.5	5625393152
2022-06-18T15:34:29.949334	7.5	5637341184
2022-06-18T15:34:40.951337	7.0	5654249472
2022-06-18T15:34:52.467834	7.6	5616726016
2022-06-18T15:35:03.513334	7.8	5609385984
2022-06-18T15:35:14.613334	7.7	5613875200
2022-06-18T15:35:25.794834	7.0	5625544704
2022-06-18T15:35:37.168335	7.5	5662457856
2022-06-18T15:35:48.920834	7.4	5631401984
2022-06-18T15:36:00.080836	7.3	5606662144
2022-06-18T15:36:11.167335	7.7	5599887360
2022-06-18T15:36:22.321834	8.5	5574586368
2022-06-18T15:36:33.465835	7.1	5603938304
2022-06-18T15:36:44.904334	7.4	5590769664
2022-06-18T15:36:55.940834	7.9	5574123520
2022-06-18T15:37:07.038834	7.6	5581070336
2022-06-18T15:37:18.232335	7.1	5603835904
2022-06-18T15:37:29.393335	7.6	5614268416
2022-06-18T15:37:40.675334	7.3	5625094144
2022-06-18T15:37:51.709836	7.1	5618315264
2022-06-18T15:38:03.038835	8.4	5680242688
2022-06-18T15:38:14.245336	7.6	5673672704
2022-06-18T15:38:25.543834	7.2	5707874304
2022-06-18T15:38:36.714335	7.6	5689925632
2022-06-18T15:38:48.035334	7.5	5693272064
2022-06-18T15:38:59.409334	7.8	5667696640
2022-06-18T15:39:10.829335	7.1	5678645248
2022-06-18T15:39:22.011334	7.5	5691428864
2022-06-18T15:39:33.139834	7.4	5701357568
2022-06-18T15:39:44.438335	7.0	5694640128
2022-06-18T15:39:55.630336	10.7	5676531712
2022-06-18T15:40:06.805336	11.1	5683204096
2022-06-18T15:40:17.924337	7.3	5672476672
2022-06-18T15:40:29.022837	7.4	5701668864
2022-06-18T15:40:40.208834	7.5	5702258688
2022-06-18T15:40:51.362834	7.8	5714866176
2022-06-18T15:41:03.069837	7.4	5689970688
2022-06-18T15:41:14.158834	7.5	5684760576
2022-06-18T15:41:25.362835	7.6	5706289152
2022-06-18T15:41:36.667834	6.9	5707984896
2022-06-18T15:41:47.864836	7.5	5702856704
2022-06-18T15:41:58.900337	8.0	5683175424
2022-06-18T15:42:10.132835	7.4	5644398592
2022-06-18T15:42:21.318834	7.2	5685776384
2022-06-18T15:42:32.566334	7.6	5710254080
2022-06-18T15:42:43.651834	7.6	5696868352
2022-06-18T15:42:55.122335	7.4	5684486144
2022-06-18T15:43:06.444337	7.6	5674672128
2022-06-18T15:43:18.107835	7.5	5676498944
2022-06-18T15:43:29.412334	7.1	5695565824
