Confidence	TP_FP
0.9997156262397766	TP
0.9996175765991211	TP
0.9988435506820679	TP
0.9985792636871338	TP
0.9980698227882385	TP
0.9941728711128235	TP
0.9911565780639648	TP
0.8709744811058044	TP
0.9998173117637634	TP
0.9982006549835205	TP
0.978954017162323	TP
0.975342869758606	TP
0.9545294642448425	TP
0.8880230188369751	TP
0.8824121356010437	TP
0.8763864636421204	TP
0.8555651903152466	TP
0.8555040955543518	TP
0.809212863445282	TP
0.9998703002929688	TP
0.9996721744537354	TP
0.9996418952941895	TP
0.9989701509475708	TP
0.9976732134819031	TP
0.9971941709518433	TP
0.9967437982559204	TP
0.9940892457962036	TP
0.8427785634994507	TP
0.827578067779541	TP
0.9999121427536011	TP
0.9998433589935303	TP
0.9935239553451538	TP
0.9644887447357178	TP
0.9533928632736206	TP
0.9401208162307739	TP
0.9247469305992126	TP
0.8715531826019287	TP
0.8537982702255249	TP
0.8462070822715759	TP
0.8291934132575989	TP
0.8031347990036011	TP
0.9999955892562866	TP
0.9999027252197266	TP
0.9997193217277527	TP
0.9989878535270691	TP
0.9980575442314148	TP
0.9967875480651855	TP
0.9889184832572937	TP
0.9852429628372192	TP
0.9642685651779175	TP
0.9599658846855164	TP
0.9574391841888428	TP
0.8890902400016785	TP
0.8699745535850525	TP
0.8635781407356262	TP
0.8278756141662598	TP
0.819544792175293	FP
0.8167487382888794	TP
0.9998722076416016	TP
0.9972500205039978	TP
0.8911734819412231	FP
0.9457659125328064	TP
0.9999899864196777	TP
0.9989227652549744	TP
0.9912828207015991	TP
0.9831486940383911	TP
0.9999921321868896	TP
0.9999974966049194	TP
0.9999456405639648	TP
0.9997001886367798	TP
0.997031569480896	TP
0.991939127445221	TP
0.9107324481010437	TP
0.9780669212341309	TP
0.9007633328437805	TP
0.9999837875366211	TP
0.9999566078186035	TP
0.9999107122421265	TP
0.9996002316474915	TP
0.9999786615371704	TP
0.9995676875114441	TP
0.9994644522666931	TP
0.999395489692688	TP
0.9990984201431274	TP
0.9979193806648254	TP
0.9971422553062439	TP
0.9916629791259766	TP
0.9865971207618713	TP
0.9775515198707581	TP
0.9773843288421631	TP
0.9743112921714783	TP
0.952387809753418	TP
0.9515341520309448	TP
0.9496625661849976	TP
0.9458782076835632	TP
0.9340261816978455	TP
0.8761017918586731	TP
0.9185079336166382	TP
0.9951700568199158	TP
0.9999719858169556	TP
0.9904401302337646	TP
0.9274865984916687	TP
0.9080216288566589	TP
0.9877925515174866	TP
0.9999551773071289	TP
0.9998028874397278	TP
0.9985412359237671	TP
0.9925248026847839	TP
0.9623208045959473	TP
0.8992592692375183	TP
0.990522027015686	TP
0.9658743143081665	FP
0.9482098817825317	TP
0.925058901309967	TP
0.9789044260978699	TP
0.9997913241386414	TP
0.9992802739143372	TP
0.9960935711860657	TP
0.9812295436859131	TP
0.9569863080978394	TP
0.9351725578308105	TP
0.9281883239746094	TP
0.9229298233985901	TP
0.9134361147880554	TP
0.9115093946456909	TP
0.9985583424568176	TP
0.9977642297744751	TP
0.9976140260696411	TP
0.9973233342170715	TP
0.9958208799362183	TP
0.9941785335540771	TP
0.994157075881958	FP
0.992958664894104	TP
0.9926596283912659	TP
0.9923316240310669	TP
0.9916207790374756	TP
0.9909404516220093	TP
0.9909108281135559	TP
0.9905576705932617	TP
0.9904841184616089	TP
0.9899167418479919	TP
0.9893752336502075	TP
