Timestamp	CPU_Load	RAM_Avail
2022-04-15T19:48:57.102643	14.1	4951621632
2022-04-15T19:49:08.272143	63.3	4753395712
2022-04-15T19:49:19.600141	70.0	4786139136
2022-04-15T19:49:31.010642	62.7	4773847040
2022-04-15T19:49:42.460142	67.7	4759654400
2022-04-15T19:49:54.140143	49.1	4743970816
2022-04-15T19:50:05.703642	61.1	4721119232
2022-04-15T19:50:17.262643	64.3	4688977920
2022-04-15T19:50:28.607642	63.7	4690132992
2022-04-15T19:50:41.553643	63.4	4738002944
2022-04-15T19:50:53.016142	62.0	4717645824
2022-04-15T19:51:04.472141	62.3	4698898432
2022-04-15T19:51:16.144641	59.9	4748521472
2022-04-15T19:51:27.879141	60.8	4728516608
2022-04-15T19:51:39.120641	60.0	4743901184
2022-04-15T19:51:50.906142	58.2	4747280384
2022-04-15T19:52:02.535642	58.6	4738007040
2022-04-15T19:52:13.821141	58.2	4708360192
2022-04-15T19:52:26.508642	58.5	4694716416
2022-04-15T19:52:37.645645	71.9	4647288832
2022-04-15T19:52:49.071642	74.8	4637065216
2022-04-15T19:53:00.680641	74.9	4625399808
2022-04-15T19:53:12.374141	74.3	4621787136
2022-04-15T19:53:24.780142	72.9	4602621952
2022-04-15T19:53:36.111141	73.7	4630380544
2022-04-15T19:53:47.243142	65.0	4613427200
2022-04-15T19:54:00.327142	72.6	4605870080
2022-04-15T19:54:12.789642	73.5	4601257984
2022-04-15T19:54:24.582641	60.0	4588785664
2022-04-15T19:54:36.966644	72.0	4633395200
2022-04-15T19:54:48.897643	74.2	4616400896
2022-04-15T19:55:00.238142	72.7	4623589376
2022-04-15T19:55:12.199641	72.1	4617322496
2022-04-15T19:55:23.900641	72.4	4592304128
2022-04-15T19:55:35.863146	74.5	4688527360
2022-04-15T19:55:47.017642	71.6	4683284480
2022-04-15T19:55:58.385144	74.1	4684095488
2022-04-15T19:56:10.043643	73.3	4639744000
2022-04-15T19:56:21.322641	68.2	4641800192
2022-04-15T19:56:32.668642	73.2	4676227072
2022-04-15T19:56:44.725643	72.0	4476375040
2022-04-15T19:56:56.523641	63.8	4581007360
2022-04-15T19:57:08.058642	57.6	4604280832
2022-04-15T19:57:19.683641	57.3	4606447616
2022-04-15T19:57:30.962144	57.7	4620976128
2022-04-15T19:57:42.146142	56.2	4632743936
2022-04-15T19:57:53.966643	57.0	4660088832
2022-04-15T19:58:05.455142	57.1	4664782848
2022-04-15T19:58:16.959147	57.1	4682338304
2022-04-15T19:58:28.190645	57.5	4688592896
2022-04-15T19:58:39.291641	57.0	4685176832
2022-04-15T19:58:50.949642	56.8	4649361408
2022-04-15T19:59:02.086143	57.2	4669403136
2022-04-15T19:59:13.837141	57.1	4651560960
2022-04-15T19:59:25.122641	56.8	4681244672
2022-04-15T19:59:36.906641	57.4	4661035008
2022-04-15T19:59:48.401142	56.1	4636037120
2022-04-15T19:59:59.975642	56.7	4635099136
2022-04-15T20:00:11.713141	57.9	4706799616
2022-04-15T20:00:22.894642	56.9	4699238400
2022-04-15T20:00:34.456143	57.7	4692885504
2022-04-15T20:00:46.247142	57.6	4952223744
2022-04-15T20:00:57.958142	56.7	4912443392
2022-04-15T20:01:09.574641	59.5	4921606144
2022-04-15T20:01:20.820143	59.4	4872450048
2022-04-15T20:01:33.686141	58.4	5182541824
2022-04-15T20:01:45.158142	49.5	5149405184
2022-04-15T20:01:57.409143	58.5	5165236224
2022-04-15T20:02:08.700642	58.9	5162409984
2022-04-15T20:02:20.290642	58.6	5163782144
2022-04-15T20:02:31.467141	58.2	5155057664
2022-04-15T20:02:42.847142	58.1	5156126720
2022-04-15T20:02:54.487642	57.9	5165375488
2022-04-15T20:03:05.780644	59.3	5159350272
2022-04-15T20:03:17.274642	58.8	5155069952
2022-04-15T20:03:29.099142	58.9	5185335296
2022-04-15T20:03:40.371142	58.3	5184225280
2022-04-15T20:03:51.535144	58.7	5194338304
2022-04-15T20:04:02.691144	60.4	5194321920
2022-04-15T20:04:14.429642	58.1	5164335104
2022-04-15T20:04:26.000142	59.5	5159489536
2022-04-15T20:04:52.394142	68.3	7921594368
2022-04-15T20:05:03.585142	52.2	7847903232
2022-04-15T20:05:14.705141	57.1	7794733056
2022-04-15T20:05:26.361642	57.5	7779373056
2022-04-15T20:05:38.253144	58.5	7880192000
2022-04-15T20:05:50.971142	58.8	8136556544
2022-04-15T20:06:02.634143	57.0	8148275200
2022-04-15T20:06:13.634143	58.5	8112091136
2022-04-15T20:06:24.691642	57.2	8090329088
2022-04-15T20:06:37.088642	57.1	8077434880
2022-04-15T20:06:48.163642	57.6	8045314048
2022-04-15T20:06:59.356142	57.1	8053587968
2022-04-15T20:07:10.857142	57.1	8062160896
2022-04-15T20:07:22.015142	55.9	8016019456
2022-04-15T20:07:33.148142	57.5	8032256000
2022-04-15T20:07:44.585143	56.7	8067166208
2022-04-15T20:07:55.971643	56.7	8078491648
2022-04-15T20:08:07.355142	57.0	8067981312
2022-04-15T20:08:19.059142	58.6	8067223552
2022-04-15T20:08:30.556141	57.8	8063496192
2022-04-15T20:08:41.874141	60.4	7971868672
2022-04-15T20:08:52.989145	58.9	7906557952
2022-04-15T20:09:04.617642	57.3	7886725120
2022-04-15T20:09:16.218141	55.3	7882969088
2022-04-15T20:09:27.620142	54.2	7862300672
2022-04-15T20:09:38.835642	57.4	7841243136
2022-04-15T20:09:50.642644	57.3	7897489408
2022-04-15T20:10:02.589641	58.2	7940935680
2022-04-15T20:10:13.622142	57.8	7953809408
2022-04-15T20:10:24.631143	57.0	7925194752
2022-04-15T20:10:36.034642	57.5	7939395584
2022-04-15T20:10:47.090142	58.2	7934427136
2022-04-15T20:10:58.174642	57.4	7939883008
2022-04-15T20:11:09.788643	57.8	7932583936
2022-04-15T20:11:20.877643	58.0	7924744192
2022-04-15T20:11:31.969641	58.3	7924486144
2022-04-15T20:11:43.980642	57.4	7925215232
2022-04-15T20:11:56.546644	57.6	7931166720
2022-04-15T20:12:08.172644	57.2	7919390720
2022-04-15T20:12:19.491142	57.7	7931891712
