Timestamp	CPU_Load	RAM_Avail
2022-06-11T14:48:54.871679	2.5	5057302528
2022-06-11T14:49:10.020762	41.2	4391247872
2022-06-11T14:49:21.350261	54.8	4375134208
2022-06-11T14:49:32.439762	54.4	4370526208
2022-06-11T14:49:43.719761	55.5	4368695296
2022-06-11T14:49:54.906262	54.0	4353986560
2022-06-11T14:50:06.052262	54.9	4347789312
2022-06-11T14:50:17.067762	47.9	4296245248
2022-06-11T14:50:28.477761	44.6	4200165376
2022-06-11T14:50:39.689762	55.8	4223606784
2022-06-11T14:50:51.586261	55.4	4237291520
2022-06-11T14:51:02.635262	56.2	4817231872
2022-06-11T14:51:14.301261	61.2	4771786752
2022-06-11T14:51:25.309761	54.0	4815122432
2022-06-11T14:51:36.565761	53.2	4817817600
2022-06-11T14:51:47.589762	51.7	4855808000
2022-06-11T14:51:58.606261	53.6	4826370048
2022-06-11T14:52:09.831761	53.2	4785451008
2022-06-11T14:52:20.854763	42.4	4824870912
2022-06-11T14:52:31.930761	52.5	4844892160
2022-06-11T14:52:43.103261	51.9	4858527744
2022-06-11T14:52:54.142761	51.8	4862918656
2022-06-11T14:53:07.023761	40.0	4817326080
2022-06-11T14:53:18.158262	52.0	4774080512
2022-06-11T14:53:29.335762	51.1	4702015488
2022-06-11T14:53:40.374262	60.4	4558348288
2022-06-11T14:53:51.515762	56.0	4618584064
2022-06-11T14:54:03.114762	56.1	4615737344
2022-06-11T14:54:14.269761	53.8	4605005824
2022-06-11T14:54:25.332261	54.4	4581437440
2022-06-11T14:54:36.573764	50.9	4762296320
2022-06-11T14:54:47.727761	51.3	4783915008
2022-06-11T14:54:58.889761	53.4	4732653568
2022-06-11T14:55:10.156761	54.1	4702384128
2022-06-11T14:55:21.212260	52.3	4781752320
2022-06-11T14:55:32.882761	52.6	4854059008
2022-06-11T14:55:44.174261	47.6	4838567936
2022-06-11T14:55:55.243761	51.5	4830412800
2022-06-11T14:56:07.898761	51.5	4805545984
2022-06-11T14:56:19.133264	50.1	4794220544
2022-06-11T14:56:30.221762	51.4	4818337792
2022-06-11T14:56:41.378261	51.2	4843888640
2022-06-11T14:56:52.486761	51.1	4842598400
2022-06-11T14:57:03.641264	51.1	4838223872
2022-06-11T14:57:14.655261	50.7	4844457984
2022-06-11T14:57:25.965261	51.3	4827119616
2022-06-11T14:57:37.129261	51.1	4833640448
2022-06-11T14:57:48.256762	47.7	4857020416
2022-06-11T14:57:59.396762	46.8	4861505536
2022-06-11T14:58:10.472262	49.6	4845178880
2022-06-11T14:58:21.545762	51.2	4838756352
2022-06-11T14:58:32.650761	51.4	4922785792
2022-06-11T14:58:43.728261	51.2	4940947456
2022-06-11T14:58:54.870764	51.0	4940812288
2022-06-11T14:59:05.944262	51.3	4933312512
2022-06-11T14:59:16.964762	51.4	4910518272
2022-06-11T14:59:28.035261	45.7	4902637568
2022-06-11T14:59:39.166761	50.8	4923949056
2022-06-11T14:59:50.306263	31.9	4928049152
2022-06-11T15:00:01.796761	50.4	4933992448
2022-06-11T15:00:12.821261	51.0	4909146112
2022-06-11T15:00:24.755261	49.9	4906246144
2022-06-11T15:00:36.119762	50.8	4921028608
2022-06-11T15:00:47.323761	51.0	4940181504
2022-06-11T15:00:58.464761	51.0	4945096704
2022-06-11T15:01:09.618761	46.8	4921933824
2022-06-11T15:01:21.779261	48.7	4895559680
2022-06-11T15:01:32.982762	46.7	4911140864
2022-06-11T15:01:44.117263	48.3	4922445824
2022-06-11T15:01:55.201261	51.1	4936257536
2022-06-11T15:02:06.343261	51.1	4935782400
2022-06-11T15:02:17.395761	51.1	4909105152
2022-06-11T15:02:29.076761	50.7	4913569792
2022-06-11T15:02:40.144265	51.2	4880621568
2022-06-11T15:02:51.364262	46.7	4876029952
2022-06-11T15:03:02.373761	52.4	5296672768
2022-06-11T15:03:13.491261	52.6	5281808384
2022-06-11T15:03:24.647762	53.1	5479940096
2022-06-11T15:03:35.885261	53.5	6037360640
2022-06-11T15:03:51.035823	0.8	6080512000
